Komentar,Bintang,Tanggal,clean_text,Sentimen,Aspek_Terdeteksi,Confidence_Score
lamaaaaaa,2,2025-11-21 13:30:33,lamaaaaaa,Negatif,Performa,0.5477619767189026
sangat membantu untuk informasi update cuaca,5,2025-11-21 06:09:18,sangat membantu untuk informasi update cuaca,Positif,Akurasi,0.8200526833534241
sangat membantu,5,2025-11-21 05:51:37,sangat membantu,Positif,UI/UX,0.4567878246307373
"aplikasi pemerintah tidak pernah tidak gagal,,, lemot bangat lemottttttttttt",1,2025-11-20 19:47:23,aplikasi pemerintah tidak pernah tidak gagal lemot bangat lemottttttttttt,Negatif,Performa,0.9315374493598938
apk tidak bisa di buka stuck logo,2,2025-11-20 01:25:19,apk tidak bisa di buka stuck logo,Negatif,UI/UX,0.9365738034248352
very good,5,2025-11-19 19:17:02,very good,Positif,UI/UX,0.5054665803909302
informasinya akurat,5,2025-11-19 16:24:11,informasinya akurat,Positif,UI/UX,0.5415354371070862
sangat baik,5,2025-11-18 20:16:40,sangat baik,Positif,UI/UX,0.4756113588809967
akurat 👍👍,5,2025-11-18 15:58:58,akurat,Positif,UI/UX,0.4741746783256531
"jelek ,, bootloop,, bug,,gabisa masuk,, stuck logo,, verdomme",1,2025-11-17 22:04:15,jelek bootloop bug gabisa masuk stuck logo verdomme,Negatif,Performa,0.7510764598846436
"sring eror. tolong di perbaiki , tambahkan fitur cuaca citra setelit",4,2025-11-17 19:36:57,sring eror tolong di perbaiki tambahkan fitur cuaca citra setelit,Positif,Akurasi,0.6104458570480347
Untuk peta mohon di cantumkan setiap lokasi nama kecamatan. terima kasih,5,2025-11-16 15:56:45,untuk peta mohon di cantumkan setiap lokasi nama kecamatan terima kasih,Positif,Performa,0.753454327583313
"apk nya ga bisa di buka..tadinya normal"" aja..kenapa ya...",3,2025-11-16 06:38:40,apk nya ga bisa di buka tadinya normal aja kenapa ya,Netral,Performa,0.5538779497146606
sangat cocok untuk informasi tentang kondisi Indonesia,5,2025-11-16 02:35:09,sangat cocok untuk informasi tentang kondisi indonesia,Positif,Akurasi,0.9345950484275818
bisa membantu untuk mengetahui bencana alam,5,2025-11-15 11:06:24,bisa membantu untuk mengetahui bencana alam,Positif,Akurasi,0.5954475998878479
sangat membantu untuk dapatkan informasi terkait BMKG,5,2025-11-15 09:44:13,sangat membantu untuk dapatkan informasi terkait bmkg,Positif,UI/UX,0.4110031723976135
aplikasi sering susah dibuka,4,2025-11-14 17:55:19,aplikasi sering susah dibuka,Positif,Performa,0.6534379720687866
Terbaik,5,2025-11-14 16:47:41,terbaik,Positif,UI/UX,0.46367278695106506
tingkatkan pembaruan dan keakuratan cuacanya. papan teks sering macet dan berat pas kita hendak mengetik nama daerah.,5,2025-11-13 19:50:50,tingkatkan pembaruan dan keakuratan cuacanya papan teks sering macet dan berat pas kita hendak mengetik nama daerah,Positif,Akurasi,0.7510614991188049
bagus untuk cuaca hujan atau kemarau,5,2025-11-12 17:37:18,bagus untuk cuaca hujan atau kemarau,Positif,Akurasi,0.869008481502533
"sebenarnya aplikasinya membantu untuk perkiraan cuaca, tapi untuk liat cuaca secara realtime tidak akurat dan notifikasi sangat lambat, misal hujan di jam 16.50 notifnya muncul di menit 17.25 dengan kalimat 'akan hujan di jam 17.00'",3,2025-11-12 17:28:00,sebenarnya aplikasinya membantu untuk perkiraan cuaca tapi untuk liat cuaca secara realtime tidak akurat dan notifikasi sangat lambat misal hujan di jam 16 50 notifnya muncul di menit 17 25 dengan kalimat akan hujan di jam 17 00,Netral,Performa,0.8613274693489075
kurang akurat selalu terlambat impormasinya,2,2025-11-12 01:53:50,kurang akurat selalu terlambat impormasinya,Negatif,Performa,0.8713608384132385
sering TDK BS dibuka,1,2025-11-11 21:48:36,sering tdk bs dibuka,Negatif,Performa,0.6706604361534119
aplikasi tidak akurat,1,2025-11-11 18:33:42,aplikasi tidak akurat,Negatif,Performa,0.6272056102752686
"aplikasi stuck di logo, ""poco m6 pro""",1,2025-11-11 15:35:58,aplikasi stuck di logo poco m6 pro,Negatif,UI/UX,0.9274081587791443
aplikasi pemerintah yang paling bagus,5,2025-11-11 07:41:43,aplikasi pemerintah yang paling bagus,Positif,UI/UX,0.8932892680168152
MANTAP,5,2025-11-11 07:31:47,mantap,Positif,UI/UX,0.41766366362571716
tidak bisa di buka cuma muncul logonya saja,1,2025-11-11 07:04:59,tidak bisa di buka cuma muncul logonya saja,Negatif,UI/UX,0.3669160008430481
Sangat Bermanfaat,5,2025-11-10 23:09:31,sangat bermanfaat,Positif,UI/UX,0.4676925539970398
saya. kasi bintang. 3 aja dulu kalau bagus saya tambah 2 bintang,3,2025-11-10 21:11:59,saya kasi bintang 3 aja dulu kalau bagus saya tambah 2 bintang,Netral,UI/UX,0.5101047158241272
lemot banget skrg kalo dibuka stuck di logo bmkg doangggggg,1,2025-11-09 18:29:30,lemot banget skrg kalo dibuka stuck di logo bmkg doangggggg,Negatif,Performa,0.9696719646453857
"semoga cuaca selalu menyenangkan, aamiin 🤲",5,2025-11-09 14:48:59,semoga cuaca selalu menyenangkan aamiin,Positif,Performa,0.4312549829483032
ini adalah raja info gempa bagus banget lagi,5,2025-11-09 10:52:11,ini adalah raja info gempa bagus banget lagi,Positif,Akurasi,0.8306825757026672
"tidak bisa setting lokasi dengan GPS. walaupun sudah memberi izin di perangkat Android, tetap tidak bisa.",2,2025-11-09 10:44:19,tidak bisa setting lokasi dengan gps walaupun sudah memberi izin di perangkat android tetap tidak bisa,Negatif,Performa,0.589663028717041
Tidak akurat,1,2025-11-08 23:51:41,tidak akurat,Negatif,Performa,0.47992581129074097
"masih ngadat, ga kebuka",5,2025-11-08 22:14:17,masih ngadat ga kebuka,Positif,Akurasi,0.6106101870536804
keren,5,2025-11-07 10:26:05,keren,Positif,UI/UX,0.3785267472267151
kenapa di hp saya tdk bisa muncul widged BMKG?,5,2025-11-07 00:16:14,kenapa di hp saya tdk bisa muncul widged bmkg,Positif,Akurasi,0.7906186580657959
ok,5,2025-11-06 18:41:36,ok,Positif,UI/UX,0.3781708776950836
bagus sekali tapi bug nya tolong diperbaiki,5,2025-11-06 16:59:57,bagus sekali tapi bug nya tolong diperbaiki,Positif,UI/UX,0.3818502128124237
gabisa dibuka,5,2025-11-06 13:29:37,gabisa dibuka,Positif,Akurasi,0.4469316303730011
sebelum cek beri bintang 1 dulu,1,2025-11-06 04:29:26,sebelum cek beri bintang 1 dulu,Negatif,UI/UX,0.4836744964122772
"ngawur banget gpsnya,ga akurat",1,2025-11-05 15:39:38,ngawur banget gpsnya ga akurat,Negatif,Performa,0.9176616072654724
bagus untuk melihat Jadwal Cuaca,4,2025-11-05 14:59:34,bagus untuk melihat jadwal cuaca,Positif,Akurasi,0.5766507387161255
setiap mau buka aplikasi nya selalu aja ngestuck di logo loading😤,1,2025-11-05 10:06:30,setiap mau buka aplikasi nya selalu aja ngestuck di logo loading,Negatif,UI/UX,0.6735389828681946
app sangat bagus,5,2025-11-05 07:10:33,app sangat bagus,Positif,UI/UX,0.9270529747009277
bagus,5,2025-11-05 07:04:14,bagus,Positif,UI/UX,0.3735136091709137
sangat membantu untuk peringatan dini,5,2025-11-05 06:48:16,sangat membantu untuk peringatan dini,Positif,UI/UX,0.4194223880767822
