Komentar,Bintang,Tanggal,clean_text,Emosi
lamaaaaaa,2,2025-11-21 13:30:33,lamaaaaaa,sedih
sangat membantu untuk informasi update cuaca,5,2025-11-21 06:09:18,sangat membantu untuk informasi update cuaca,bahagia
sangat membantu,5,2025-11-21 05:51:37,sangat membantu,bahagia
"aplikasi pemerintah tidak pernah tidak gagal,,, lemot bangat lemottttttttttt",1,2025-11-20 19:47:23,aplikasi pemerintah tidak pernah tidak gagal lemot bangat lemottttttttttt,marah
apk tidak bisa di buka stuck logo,2,2025-11-20 01:25:19,apk tidak bisa di buka stuck logo,marah
very good,5,2025-11-19 19:17:02,very good,bahagia
informasinya akurat,5,2025-11-19 16:24:11,informasinya akurat,marah
sangat baik,5,2025-11-18 20:16:40,sangat baik,bahagia
akurat 👍👍,5,2025-11-18 15:58:58,akurat,marah
"jelek ,, bootloop,, bug,,gabisa masuk,, stuck logo,, verdomme",1,2025-11-17 22:04:15,jelek bootloop bug gabisa masuk stuck logo verdomme,sedih
"sring eror. tolong di perbaiki , tambahkan fitur cuaca citra setelit",4,2025-11-17 19:36:57,sring eror tolong di perbaiki tambahkan fitur cuaca citra setelit,takut
Untuk peta mohon di cantumkan setiap lokasi nama kecamatan. terima kasih,5,2025-11-16 15:56:45,untuk peta mohon di cantumkan setiap lokasi nama kecamatan terima kasih,bahagia
"apk nya ga bisa di buka..tadinya normal"" aja..kenapa ya...",3,2025-11-16 06:38:40,apk nya ga bisa di buka tadinya normal aja kenapa ya,bahagia
sangat cocok untuk informasi tentang kondisi Indonesia,5,2025-11-16 02:35:09,sangat cocok untuk informasi tentang kondisi indonesia,sedih
bisa membantu untuk mengetahui bencana alam,5,2025-11-15 11:06:24,bisa membantu untuk mengetahui bencana alam,takut
sangat membantu untuk dapatkan informasi terkait BMKG,5,2025-11-15 09:44:13,sangat membantu untuk dapatkan informasi terkait bmkg,bahagia
aplikasi sering susah dibuka,4,2025-11-14 17:55:19,aplikasi sering susah dibuka,bahagia
Terbaik,5,2025-11-14 16:47:41,terbaik,marah
tingkatkan pembaruan dan keakuratan cuacanya. papan teks sering macet dan berat pas kita hendak mengetik nama daerah.,5,2025-11-13 19:50:50,tingkatkan pembaruan dan keakuratan cuacanya papan teks sering macet dan berat pas kita hendak mengetik nama daerah,bahagia
