Komentar,Bintang,Tanggal
lamaaaaaa,2,2025-11-21 13:30:33
sangat membantu untuk informasi update cuaca,5,2025-11-21 06:09:18
sangat membantu,5,2025-11-21 05:51:37
"aplikasi pemerintah tidak pernah tidak gagal,,, lemot bangat lemottttttttttt",1,2025-11-20 19:47:23
apk tidak bisa di buka stuck logo,2,2025-11-20 01:25:19
very good,5,2025-11-19 19:17:02
informasinya akurat,5,2025-11-19 16:24:11
👍👍👍,5,2025-11-18 22:02:50
sangat baik,5,2025-11-18 20:16:40
akurat 👍👍,5,2025-11-18 15:58:58
"jelek ,, bootloop,, bug,,gabisa masuk,, stuck logo,, verdomme",1,2025-11-17 22:04:15
"sring eror. tolong di perbaiki , tambahkan fitur cuaca citra setelit",4,2025-11-17 19:36:57
Untuk peta mohon di cantumkan setiap lokasi nama kecamatan. terima kasih,5,2025-11-16 15:56:45
"apk nya ga bisa di buka..tadinya normal"" aja..kenapa ya...",3,2025-11-16 06:38:40
sangat cocok untuk informasi tentang kondisi Indonesia,5,2025-11-16 02:35:09
bisa membantu untuk mengetahui bencana alam,5,2025-11-15 11:06:24
sangat membantu untuk dapatkan informasi terkait BMKG,5,2025-11-15 09:44:13
aplikasi sering susah dibuka,4,2025-11-14 17:55:19
Terbaik,5,2025-11-14 16:47:41
tingkatkan pembaruan dan keakuratan cuacanya. papan teks sering macet dan berat pas kita hendak mengetik nama daerah.,5,2025-11-13 19:50:50
bagus untuk cuaca hujan atau kemarau,5,2025-11-12 17:37:18
"sebenarnya aplikasinya membantu untuk perkiraan cuaca, tapi untuk liat cuaca secara realtime tidak akurat dan notifikasi sangat lambat, misal hujan di jam 16.50 notifnya muncul di menit 17.25 dengan kalimat 'akan hujan di jam 17.00'",3,2025-11-12 17:28:00
kurang akurat selalu terlambat impormasinya,2,2025-11-12 01:53:50
sering TDK BS dibuka,1,2025-11-11 21:48:36
aplikasi tidak akurat,1,2025-11-11 18:33:42
"aplikasi stuck di logo, ""poco m6 pro""",1,2025-11-11 15:35:58
aplikasi pemerintah yang paling bagus,5,2025-11-11 07:41:43
MANTAP,5,2025-11-11 07:31:47
tidak bisa di buka cuma muncul logonya saja,1,2025-11-11 07:04:59
Sangat Bermanfaat,5,2025-11-10 23:09:31
saya. kasi bintang. 3 aja dulu kalau bagus saya tambah 2 bintang,3,2025-11-10 21:11:59
lemot banget skrg kalo dibuka stuck di logo bmkg doangggggg,1,2025-11-09 18:29:30
"semoga cuaca selalu menyenangkan, aamiin 🤲",5,2025-11-09 14:48:59
ini adalah raja info gempa bagus banget lagi,5,2025-11-09 10:52:11
"tidak bisa setting lokasi dengan GPS. walaupun sudah memberi izin di perangkat Android, tetap tidak bisa.",2,2025-11-09 10:44:19
Tidak akurat,1,2025-11-08 23:51:41
"masih ngadat, ga kebuka",5,2025-11-08 22:14:17
keren,5,2025-11-07 10:26:05
kenapa di hp saya tdk bisa muncul widged BMKG?,5,2025-11-07 00:16:14
ok,5,2025-11-06 18:41:36
bagus sekali tapi bug nya tolong diperbaiki,5,2025-11-06 16:59:57
gabisa dibuka,5,2025-11-06 13:29:37
sebelum cek beri bintang 1 dulu,1,2025-11-06 04:29:26
"ngawur banget gpsnya,ga akurat",1,2025-11-05 15:39:38
bagus untuk melihat Jadwal Cuaca,4,2025-11-05 14:59:34
setiap mau buka aplikasi nya selalu aja ngestuck di logo loading😤,1,2025-11-05 10:06:30
app sangat bagus,5,2025-11-05 07:10:33
bagus,5,2025-11-05 07:04:14
sangat membantu untuk peringatan dini,5,2025-11-05 06:48:16
"tidak bisa setting ke daerah setempat, sudah ganti gps, set ke lokasi saat ini, selalu berubah lsgi ke lokasi gunung sahari selatan. udh update masih jg. perbaiki ya.",1,2025-11-05 02:04:46
Sangat membantu di keadaan anomali cuaca saat ini.,5,2025-11-04 23:50:13
potentially good ini. saya akan selalu kasih masukan baik buruknya ini aplikasi. beneran mirip view weather,5,2025-11-04 21:43:44
Akurasinya bagus,5,2025-11-04 21:18:21
aplikasi yang sangat bagus dan sangat akurat,5,2025-11-04 18:11:32
kurang akurat. terjadi satu jam baru informasinya keluar,1,2025-11-04 16:29:13
oke,5,2025-11-04 13:04:52
sangat bagus,5,2025-11-04 10:58:26
di aplikasi tlg di update agar ada menu utk menyimpan kota² favorite,5,2025-11-04 08:41:48
butuh widget,5,2025-11-03 23:46:50
mantap,5,2025-11-03 11:29:02
infonya akurat,5,2025-11-02 23:50:58
sangat bagus,5,2025-11-02 19:08:56
bagus,5,2025-11-02 18:24:24
baik,5,2025-11-02 16:38:49
Mantap aplikasi nya sangat membantu sekali,5,2025-11-02 07:35:48
cepat akurat,5,2025-11-02 05:19:52
"setelah di update, di bagian itur iklim gak ada data terkait tentang hujan",3,2025-11-02 03:13:53
